Type,Rating,Coeff,Size ,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
1,0,0,12,217,433,721,1133,1723,2518,3441,4123,4210
1,0,1,12,0.78,0.87,0.85,0.8,0.75,0.69,0.55,0.51,0.47
1,0,2,12,0.491,0.671,0.61,0.535,0.443,0.343,0.222,0.171,0.141
1,0,3,12,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,0,14,215,480,855,1401,2182,3170,4332,5198,5296
1,0,1,14,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,2,14,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
1,0,3,14,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
1,0,0,16,377,725,1208,1885,2823,4031,5376,6268,6338
1,0,1,16,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,2,16,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
1,0,3,16,0.5,0.53,0.55,0.51,0.51,0.45,0.39,0.3,0.23
1,0,0,18,418,851,1422,2277,3502,5246,7693,9573,9995
1,0,1,18,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,2,18,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
1,0,3,18,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
1,0,0,20,509,991,1699,2772,4340,6578,9458,12231,12860
1,0,1,20,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,2,20,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
1,0,3,20,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
1,0,0,24,803,1595,2682,4291,6631,9878,14117,18477,19547
1,0,1,24,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,2,24,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
