Trim Type,Flow,Charac,Size,Coeff,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten
2,0,1,3,2,1,1,1,1,1,1,1,1,1,1
2,0,1,3,3,0.768,0.757,0.761,0.757,0.758,0.571,0.754,0.756,0.758,0.757
2,0,1,4,0,17.15457689,24.04411397,33.62000776,46.79271883,64.55902797,87.66147914,134.4325702,166.1361498,186.8890933,200.5707752
2,0,1,4,1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
2,0,1,4,2,1,1,1,1,1,1,1,1,1,1
2,0,1,4,3,0.722,0.717,0.739,0.772,0.738,0.718,0.718,0.736,0.792,0.822
2,0,1,6,0,26.24528967,36.83589794,51.64340896,72.24829217,100.6555514,139.1301331,225.7914524,295.7815185,349.7610258,390.4925251
2,0,1,6,1,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
2,0,1,6,2,1,1,1,1,1,1,1,1,1,1
2,0,1,6,3,0.723,0.737,0.767,0.846,0.803,0.781,0.808,0.826,0.847,0.816
2,0,1,8,0,48.23923455,67.69175922,94.86670761,132.6185224,184.4996272,254.3439127,409.058721,530.4058674,621.2304099,687.9565483
2,0,1,8,1,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
2,0,1,8,2,1,1,1,1,1,1,1,1,1,1
2,0,1,8,3,0.874,0.865,0.769,0.748,0.731,0.697,0.712,0.707,0.697,0.694
2,0,1,10,0,48.2690322,67.77416894,95.09394418,133.2414573,186.1881041,258.8230927,428.5163953,575.0419354,696.605196,794.9313359
2,0,1,10,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,10,2,1,1,1,1,1,1,1,1,1,1
2,0,1,10,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,1,12,0,75.53482514,106.0602367,148.8197011,208.5376546,291.4539576,405.2849479,671.7825942,902.8128045,1095.358954,1251.809988
